ParkingSpaceId,ParkingMeterStatus,OccupancyStatus,OccupancyDateChanged
10159B,N,O,03/30/2022 18:01:04 PM
10161A,N,V,03/30/2022 23:29:15 PM
10161B,N,V,03/30/2022 23:29:15 PM
10172A,N,O,03/30/2022 07:12:42 AM
10172B,N,O,03/30/2022 07:12:42 AM
10173A,N,O,03/30/2022 18:54:58 PM
10173B,N,O,03/30/2022 18:54:58 PM
10174A,N,O,03/30/2022 18:49:50 PM
10174B,N,O,03/30/2022 18:49:50 PM
10175A,N,O,03/30/2022 07:14:42 AM
10175B,N,O,03/30/2022 07:14:42 AM
10176B,N,O,03/30/2022 07:13:42 AM
10182A,N,O,03/30/2022 17:31:52 PM
10182B,N,O,03/30/2022 17:31:52 PM
10183A,N,O,03/30/2022 07:11:41 AM
10185A,N,O,03/30/2022 17:40:32 PM
10185B,N,O,03/30/2022 17:40:32 PM
10186A,N,O,03/30/2022 20:35:47 PM
10186B,N,O,03/30/2022 20:35:47 PM
10187A,N,O,03/30/2022 20:26:14 PM
10187B,N,O,03/30/2022 20:26:14 PM
10188A,N,O,03/30/2022 17:52:32 PM
10188B,N,O,03/30/2022 17:52:32 PM
10189A,N,O,03/30/2022 11:44:10 AM
10189B,N,O,03/30/2022 11:44:10 AM
10190A,N,O,03/30/2022 17:00:50 PM
10190B,N,O,03/30/2022 17:00:50 PM
10191A,N,O,03/30/2022 18:37:34 PM
10191B,N,O,03/30/2022 18:37:34 PM
10192A,N,O,03/30/2022 08:52:10 AM
10192B,N,O,03/30/2022 08:52:10 AM
10196A,N,O,03/30/2022 23:08:20 PM
101A,N,V,03/30/2022 23:28:49 PM
101B,N,V,03/30/2022 23:28:49 PM
10200A,N,O,03/30/2022 20:46:53 PM
10201A,N,O,03/30/2022 22:16:11 PM
10201B,N,O,03/30/2022 22:16:11 PM
10207A,N,O,03/30/2022 23:20:03 PM
10207B,N,V,03/30/2022 23:20:03 PM
10209B,N,O,03/30/2022 07:40:41 AM
10211A,N,O,03/30/2022 20:56:57 PM
10211B,N,O,03/30/2022 20:56:57 PM
10212A,N,O,03/30/2022 21:57:28 PM
10212B,N,O,03/30/2022 21:57:28 PM
10213A,N,O,03/30/2022 21:15:54 PM
10213B,N,O,03/30/2022 21:15:54 PM
10215B,N,O,03/30/2022 07:44:42 AM
10216A,N,O,03/30/2022 19:00:27 PM
10216B,N,O,03/30/2022 19:00:27 PM
1021A,N,O,03/30/2022 21:52:21 PM
1021B,N,V,03/30/2022 21:52:21 PM
10222A,N,O,03/30/2022 17:04:55 PM
10222B,N,O,03/30/2022 17:04:55 PM
10223A,N,O,03/30/2022 14:37:39 PM
10224A,N,O,03/30/2022 20:16:54 PM
10224B,N,O,03/30/2022 20:16:54 PM
10225A,N,O,03/30/2022 13:46:31 PM
10225B,N,O,03/30/2022 13:46:31 PM
10227B,N,O,03/30/2022 06:12:42 AM
10228B,N,O,03/30/2022 12:07:00 PM
10229A,N,O,03/30/2022 11:55:33 AM
10229B,N,O,03/30/2022 11:55:33 AM
1022A,N,V,03/30/2022 22:35:56 PM
1022B,N,V,03/30/2022 22:35:56 PM
10231B,N,O,03/30/2022 07:13:44 AM
10232A,N,O,03/30/2022 19:33:25 PM
10232B,N,O,03/30/2022 19:33:25 PM
10233B,N,O,03/30/2022 07:11:42 AM
10234A,N,O,03/30/2022 22:09:43 PM
10234B,N,O,03/30/2022 22:09:43 PM
10235A,N,O,03/30/2022 19:22:52 PM
10235B,N,O,03/30/2022 19:22:52 PM
10236A,N,O,03/30/2022 19:00:42 PM
10236B,N,O,03/30/2022 19:00:42 PM
10237A,N,O,03/30/2022 19:26:56 PM
10237B,N,O,03/30/2022 19:26:56 PM
10238A,N,O,03/30/2022 22:06:43 PM
10238B,N,O,03/30/2022 22:06:43 PM
10239A,N,O,03/30/2022 19:59:30 PM
10239B,N,O,03/30/2022 19:59:30 PM
1023A,N,V,03/30/2022 23:28:36 PM
1023B,N,V,03/30/2022 23:28:36 PM
10240A,N,O,03/30/2022 18:49:17 PM
10241A,N,O,03/30/2022 20:35:22 PM
10241B,N,O,03/30/2022 20:35:22 PM
10242A,N,O,03/30/2022 16:13:03 PM
10242B,N,O,03/30/2022 16:13:03 PM
10245A,N,O,03/30/2022 19:23:09 PM
10245B,N,O,03/30/2022 19:23:09 PM
10246A,N,O,03/30/2022 06:13:42 AM
10246B,N,O,03/30/2022 06:13:42 AM
10247A,N,O,03/30/2022 22:36:16 PM
1024A,N,V,03/30/2022 22:29:10 PM
1024B,N,V,03/30/2022 22:29:10 PM
10253A,N,O,03/30/2022 17:12:02 PM
10254A,N,O,03/30/2022 17:50:30 PM
10254B,N,O,03/30/2022 17:50:30 PM
10256A,N,O,03/30/2022 17:20:45 PM
10256B,N,O,03/30/2022 17:20:45 PM
10257A,N,O,03/30/2022 07:12:41 AM
10257B,N,O,03/30/2022 07:12:41 AM
10258A,N,O,03/30/2022 20:31:33 PM
10258B,N,O,03/30/2022 20:31:33 PM
10259A,N,O,03/30/2022 06:10:41 AM
10259B,N,O,03/30/2022 06:10:41 AM
1025A,N,V,03/30/2022 23:30:08 PM
1025B,N,O,03/30/2022 23:30:08 PM
10262A,N,O,03/30/2022 16:54:34 PM
10262B,N,O,03/30/2022 16:54:34 PM
10263A,N,O,03/30/2022 18:24:36 PM
10263B,N,O,03/30/2022 18:24:36 PM
10264A,N,O,03/30/2022 18:12:23 PM
10264B,N,O,03/30/2022 18:12:23 PM
1026A,N,V,03/30/2022 18:30:40 PM
10270A,N,O,03/30/2022 19:31:42 PM
10270B,N,O,03/30/2022 19:31:42 PM
10271A,N,O,03/30/2022 21:06:27 PM
10271B,N,O,03/30/2022 21:06:27 PM
10272A,N,O,03/30/2022 21:54:50 PM
10272B,N,O,03/30/2022 21:54:50 PM
10273A,N,O,03/30/2022 17:47:26 PM
10273B,N,O,03/30/2022 17:47:26 PM
1027A,N,O,03/30/2022 17:50:16 PM
1027B,N,V,03/30/2022 17:50:16 PM
10280A,N,O,03/30/2022 21:19:55 PM
10280B,N,O,03/30/2022 21:19:55 PM
10281A,N,O,03/30/2022 18:08:52 PM
10281B,N,O,03/30/2022 18:08:52 PM
10286A,N,O,03/30/2022 06:13:42 AM
10286B,N,O,03/30/2022 06:13:42 AM
10287A,N,O,03/30/2022 19:22:24 PM
10287B,N,O,03/30/2022 19:22:24 PM
1028A,N,V,03/30/2022 18:14:30 PM
1028B,N,V,03/30/2022 18:14:30 PM
10295A,N,O,03/30/2022 22:03:44 PM
10296A,N,O,03/30/2022 12:03:41 PM
10296B,N,O,03/30/2022 12:03:41 PM
10297A,N,O,03/30/2022 17:04:17 PM
10297B,N,O,03/30/2022 17:04:17 PM
10298A,N,O,03/30/2022 21:57:42 PM
10298B,N,O,03/30/2022 21:57:42 PM
1029A,N,V,03/30/2022 23:30:02 PM
1029B,N,V,03/30/2022 23:30:02 PM
102A,N,V,03/30/2022 23:03:20 PM
102B,N,V,03/30/2022 23:03:20 PM
10301A,N,O,03/30/2022 16:57:08 PM
10301B,N,O,03/30/2022 16:57:08 PM
10302A,N,O,03/30/2022 14:19:46 PM
10302B,N,O,03/30/2022 14:19:46 PM
10303A,N,O,03/30/2022 14:01:03 PM
10303B,N,O,03/30/2022 14:01:03 PM
1030A,N,V,03/30/2022 22:35:51 PM
1030B,N,O,03/30/2022 22:35:51 PM
10310A,N,V,03/30/2022 16:36:48 PM
10310B,N,O,03/30/2022 16:36:48 PM
10311A,N,O,03/30/2022 13:14:26 PM
10311B,N,O,03/30/2022 13:14:26 PM
10312A,N,O,03/30/2022 15:52:48 PM
10312B,N,O,03/30/2022 15:52:48 PM
10316A,N,O,03/30/2022 12:18:58 PM
10316B,N,O,03/30/2022 12:18:58 PM
10317A,N,O,03/30/2022 20:17:54 PM
10317B,N,O,03/30/2022 20:17:54 PM
10318A,NU,V,03/08/2022 15:58:58 PM
10318B,NU,V,03/08/2022 15:58:58 PM
10319A,NU,O,03/08/2022 15:46:51 PM
10319B,NU,O,03/08/2022 15:46:51 PM
1031A,N,V,03/30/2022 17:13:57 PM
1031B,N,V,03/30/2022 17:13:57 PM
10320A,NU,O,01/04/2022 11:28:03 AM
10320B,NU,V,01/04/2022 11:28:03 AM
10322A,N,O,03/30/2022 17:12:42 PM
